Event ID	Date-Time	Type	Instrument(s)	Location info (Event or Sub-spacecraft)	Lat.	Long.	References
103	2015-03-15T03:39:56	Outburst	ALICE	S	-43.5	271.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
104	2015-04-15T09:15:44.0	Outburst	ALICE	S	-24.4	249.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
105	2015-04-15T14:05:01.0	Outburst	ALICE	S	-22.5	102.4	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
106	2015-04-27T01:21:36.0	Outburst	ALICE	S	-4.8	198.2	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
107	2015-04-28T03:13:01.0	Outburst	ALICE	S	-18.9	166.5	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
108	2015-04-29T15:47:37.0	Outburst	ALICE	S	-30.9	184.5	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
109	2015-04-29T19:33:36.0	Outburst	ALICE	S	-32.1	74.6	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
110	2015-04-29T23:03:53.0	Outburst	ALICE	S	-33.3	332	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
111	2015-04-30T02:32:41.0	Outburst	ALICE	S	-34.5	229.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
112	2015-05-13T22:50:55.0	Outburst	ALICE	S	55.7	203.8	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
113	2015-06-07T19:08:37.0	Outburst	ALICE	S	-12.9	191.4	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
